المخالفة,الغرامة
قيادة المركبة في الأسواق التي لا يسمح بالقيادة فيها.,الغرامة المالية 100 - 150 ريال
ترك المركبة مفتوحة وفي وضع التشغيل بعد مغادرتها.,الغرامة المالية 100 - 150 ريال
عدم وجود تأمين ساري للمركبة.,الغرامة المالية 100 - 150 ريال
عبور المشاة للطرق من غير الأماكن المخصصة لهم.,الغرامة المالية 100 - 150 ريال
عدم تقيد المشاة بالإشارات الخاصة بهم.,الغرامة المالية 100 - 150 ريال
وقوف المركبة في أماكن غير مخصصة للوقوف.,الغرامة المالية 100 - 150 ريال
عدم إعطاء أفضلية المرور للمشاة أثناء عبورهم في المسارات المخصصة لهم.,الغرامة المالية 100 - 150 ريال
عدم استخدام إشارة الالتفاف عند التحول لليمين أو اليسار أو التجاوز أو تغيير المسار.,الغرامة المالية 150 - 300 ريال
الرجوع إلى الخلف في الطريق العام لمسافة تزيد على عشرين متراً.,الغرامة المالية 150 - 300 ريال
"قيام سائق الدراجة الآلية أو العادية - أو ما في حكمهما - بالتعلق بأي مركبة أخرى، أو سحب أو حمل أشياء تعرض مستخدمي الطريق للخطر.",الغرامة المالية 150 - 300 ريال
مخالفة قواعد استعمال أنوار التلاقي.,الغرامة المالية 150 - 300 ريال
عدم حمل رخصة القيادة أو رخصة السير أثناء القيادة.,الغرامة المالية 150 - 300 ريال
إساءة استعمال منبه المركبة.,الغرامة المالية 150 - 300 ريال
عدم تقديم المركبة للفحص الفني الدوري.,الغرامة المالية 150 - 300 ريال
مخالفة تنظيمات السير على الطرق.,الغرامة المالية 150 - 300 ريال
عدم ربط حزام الأمان.,الغرامة المالية 150 - 300 ريال
وضع حواجز داخل المركبة أو خارجها تعوق رؤية السائق.,الغرامة المالية 150 - 300 ريال
"عدم ترك السائق مسافة كافية بين مركبته والمركبة التي أمامه، تسمح له بتفادي وقوع حادث.",الغرامة المالية 150 - 300 ريال
"التحرك بالمركبة بسرعة عالية، بحيث تحدث الإطارات صوتاً عالياً.",الغرامة المالية 150 - 300 ريال
التجمهر في موقع الحادث.,الغرامة المالية 150 - 300 ريال
قيام السائق بتخطي أرتال المركبات أمام إشارات المرور أو نقاط الضبط الأمني باستخدام كتف الطريق أو المسار المخصص للالتفاف.,الغرامة المالية 150 - 300 ريال
عدم توافر المتطلبات النظامية للمقطورة.,الغرامة المالية 150 - 300 ريال
عدم اتخاذ الاحتياطات اللازمة عند إيقاف المركبة في حالات الطوارئ على الطرق العامة.,الغرامة المالية 300 - 500 ريال
رمي أجسام خارج المركبة.,الغرامة المالية 300 - 500 ريال
التباطؤ في السير على نحو يعرقل الحركة.,الغرامة المالية 300 - 500 ريال
الانشغال بغير الطريق أثناء قيادة المركبة.,الغرامة المالية 300 - 500 ريال
استعمال المكابح (الفرامل) بشكل مفاجئ لغير ضرورة.,الغرامة المالية 300 - 500 ريال
عدم التقيد بتنظيمات السير عند تقاطعات الطرق.,الغرامة المالية 300 - 500 ريال
عدم الالتزام بحدود المسارات المحددة على الطريق.,الغرامة المالية 300 - 500 ريال
"إحداث ضوضاء باستعمال أجهزة من داخل المركبة، أو ارتكاب أي سلوك يتنافى مع الآداب العامة أثناء القيادة.",الغرامة المالية 300 - 500 ريال
القيادة برخصة قيادة صلاحيتها منتهية.,الغرامة المالية 300 - 500 ريال
عدم استخدام مقاعد الأمان المخصصة للأطفال.,الغرامة المالية 300 - 500 ريال
ترك المركبة في طريق منحدرة مع عدم اتخاذ الاحتياطات اللازمة.,الغرامة المالية 300 - 500 ريال
ترك الأطفال دون سن العاشرة في المركبة دون مرافق راشد.,الغرامة المالية 300 - 500 ريال
ملاحقة مركبات الطوارئ أثناء استعمال المنبهات الخاصة بها.,الغرامة المالية 500 - 900 ريال
القيادة على الطريق بمركبات مخصصة للاقتناء.,الغرامة المالية 500 - 900 ريال
عدم الوقوف تماماً عند إشارة قف.,الغرامة المالية 500 - 900 ريال
عدم الوقوف وقوفاً تاماً عند إشارة (أمامك أفضلية) في حالة مرور مركبات على الطريق المعطاة له الأفضلية.,الغرامة المالية 500 - 900 ريال
